SL,PTH,TTR,AWL,ASC,DWR,POS,VWR,GFI,FKG,FRE,PRP,COH
18,10,0.94,4.44,1.17,0.11,0.44,0.11,13.6,5.24,89.58,385.3200866556108,0.65
23,10,0.91,4.52,1.26,0.13,0.35,0.3,16.4,8.25,76.89,213.59428749321597,0.75
15,8,0.87,4.0,1.2,0.13,0.4,0.33,13.2,4.42,90.09,267.22468562676215,0.68
15,7,0.87,3.8,1.13,0.07,0.47,0.33,10.8,3.59,96.01,606.9296784438234,0.67
11,4,0.91,4.0,1.36,0.18,0.45,0.36,13.6,4.75,80.61,2222.6775837542486,0.64
9,4,0.78,4.33,1.44,0.33,0.67,0.44,18.8,4.91,75.88,69.75244265710566,0.61
14,5,0.93,4.14,1.43,0.21,0.43,0.21,16.0,6.74,71.65,98.46408647363172,0.63
43,9,0.79,4.26,1.3,0.23,0.28,0.26,28.4,16.52,53.21,275.7775329387112,0.72
16,6,0.88,4.5,1.25,0.25,0.5,0.19,18.4,5.4,84.84,67.34000760148875,0.64
